County_Name,Census_Tract_ID,Census_Tract_Name,Mode,Season,Day_of_Week,On_,Off_,ObjectId
Bucks County,42017100102,Census Tract 1001.02,Bus,Fall 2014,Weekday,42,53,1
Bucks County,42017100103,Census Tract 1001.03,Bus,Fall 2014,Weekday,79,73,2
Bucks County,42017100104,Census Tract 1001.04,Bus,Fall 2014,Weekday,88,69,3
Bucks County,42017100105,Census Tract 1001.05,Bus,Fall 2014,Weekday,4,3,4
Bucks County,42017100201,Census Tract 1002.01,Bus,Fall 2014,Weekday,484,350,5
Bucks County,42017100206,Census Tract 1002.06,Bus,Fall 2014,Weekday,903,956,6
Bucks County,42017100207,Census Tract 1002.07,Bus,Fall 2014,Weekday,391,549,7
Bucks County,42017100208,Census Tract 1002.08,Bus,Fall 2014,Weekday,305,455,8
Bucks County,42017100210,Census Tract 1002.10,Bus,Fall 2014,Weekday,60,88,9
Bucks County,42017100211,Census Tract 1002.11,Bus,Fall 2014,Weekday,6,6,10
Bucks County,42017100212,Census Tract 1002.12,Bus,Fall 2014,Weekday,16,21,11
Bucks County,42017100213,Census Tract 1002.13,Bus,Fall 2014,Weekday,4,6,12
Bucks County,42017100214,Census Tract 1002.14,Bus,Fall 2014,Weekday,38,32,13
Bucks County,42017100302,Census Tract 1003.02,Bus,Fall 2014,Weekday,37,34,14
Bucks County,42017100303,Census Tract 1003.03,Bus,Fall 2014,Weekday,164,165,15
Bucks County,42017100304,Census Tract 1003.04,Bus,Fall 2014,Weekday,116,138,16
Bucks County,42017100306,Census Tract 1003.06,Bus,Fall 2014,Weekday,0,0,17
Bucks County,42017100307,Census Tract 1003.07,Bus,Fall 2014,Weekday,31,27,18
Bucks County,42017100401,Census Tract 1004.01,Bus,Fall 2014,Weekday,31,22,19
Bucks County,42017100402,Census Tract 1004.02,Bus,Fall 2014,Weekday,39,35,20
Bucks County,42017100403,Census Tract 1004.03,Bus,Fall 2014,Weekday,36,40,21
Bucks County,42017100404,Census Tract 1004.04,Bus,Fall 2014,Weekday,15,8,22
Bucks County,42017100406,Census Tract 1004.06,Bus,Fall 2014,Weekday,47,44,23
Bucks County,42017100407,Census Tract 1004.07,Bus,Fall 2014,Weekday,5,8,24
Bucks County,42017100408,Census Tract 1004.08,Bus,Fall 2014,Weekday,28,30,25
Bucks County,42017100500,Census Tract 1005,Bus,Fall 2014,Weekday,13,9,26
Bucks County,42017100600,Census Tract 1006,Bus,Fall 2014,Weekday,25,26,27
Bucks County,42017100700,Census Tract 1007,Bus,Fall 2014,Weekday,182,177,28
Bucks County,42017100803,Census Tract 1008.03,Bus,Fall 2014,Weekday,6,51,29
Bucks County,42017100804,Census Tract 1008.04,Bus,Fall 2014,Weekday,0,0,30
Bucks County,42017100805,Census Tract 1008.05,Bus,Fall 2014,Weekday,14,13,31
Bucks County,42017100807,Census Tract 1008.07,Bus,Fall 2014,Weekday,679,731,32
Bucks County,42017100808,Census Tract 1008.08,Bus,Fall 2014,Weekday,28,33,33
Bucks County,42017100811,Census Tract 1008.11,Bus,Fall 2014,Weekday,45,50,34
Bucks County,42017100900,Census Tract 1009,Bus,Fall 2014,Weekday,2,2,35
Bucks County,42017101100,Census Tract 1011,Bus,Fall 2014,Weekday,111,116,36
Bucks County,42017101401,Census Tract 1014.01,Bus,Fall 2014,Weekday,86,160,37
