"","County_Name","Census_Tract_ID","Census_Tract_Name","Mode","Season","Day_of_Week","On_","Off_","ObjectId"
"1","Delaware County",42045407101,"Census Tract 4071.01","Bus","Fall 2023","Sunday",1,2,17255
"2","Delaware County",42045404400,"Census Tract 4044","Bus","Fall 2023","Sunday",105,51,17581
"3","Delaware County",42045404500,"Census Tract 4045","Bus","Fall 2023","Sunday",29,104,17582
"4","Delaware County",42045404600,"Census Tract 4046","Bus","Fall 2023","Sunday",27,27,17583
"5","Delaware County",42045404700,"Census Tract 4047","Bus","Fall 2023","Sunday",85,97,17584
"6","Delaware County",42045404800,"Census Tract 4048","Bus","Fall 2023","Sunday",54,52,17585
"7","Delaware County",42045404900,"Census Tract 4049","Bus","Fall 2023","Sunday",7,22,17586
"8","Delaware County",42045405000,"Census Tract 4050","Bus","Fall 2023","Sunday",693,616,17587
"9","Delaware County",42045405100,"Census Tract 4051","Bus","Fall 2023","Sunday",63,48,17588
"10","Delaware County",42045405200,"Census Tract 4052","Bus","Fall 2023","Sunday",61,76,17589
"11","Delaware County",42045405300,"Census Tract 4053","Bus","Fall 2023","Sunday",51,70,17590
"12","Delaware County",42045405400,"Census Tract 4054","Bus","Fall 2023","Sunday",94,56,17591
