"","County_Name","Census_Tract_ID","Census_Tract_Name","Mode","Season","Day_of_Week","On_","Off_","ObjectId"
"1","Delaware County",42045404400,"Census Tract 4044","Bus","Fall 2023","Weekday",209,104,15292
"2","Delaware County",42045404500,"Census Tract 4045","Bus","Fall 2023","Weekday",146,256,15293
"3","Delaware County",42045404600,"Census Tract 4046","Bus","Fall 2023","Weekday",77,69,15294
"4","Delaware County",42045404700,"Census Tract 4047","Bus","Fall 2023","Weekday",221,265,15295
"5","Delaware County",42045404800,"Census Tract 4048","Bus","Fall 2023","Weekday",108,95,15296
"6","Delaware County",42045404900,"Census Tract 4049","Bus","Fall 2023","Weekday",18,50,15297
"7","Delaware County",42045405000,"Census Tract 4050","Bus","Fall 2023","Weekday",2033,1879,15298
"8","Delaware County",42045405100,"Census Tract 4051","Bus","Fall 2023","Weekday",123,130,15299
"9","Delaware County",42045405200,"Census Tract 4052","Bus","Fall 2023","Weekday",176,167,15300
"10","Delaware County",42045405300,"Census Tract 4053","Bus","Fall 2023","Weekday",116,199,15301
"11","Delaware County",42045405400,"Census Tract 4054","Bus","Fall 2023","Weekday",153,87,15302
"12","Delaware County",42045401700,"Census Tract 4017","Bus","Fall 2023","Weekday",239,308,15593
