STATE,STATEFP,COUNTYFP,COUNTYNAME,PLACEFP,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT
PA,42,1,Adams County,116,1214750,Abbottstown borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,2928,1214751,Arendtsville borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,3312,2389155,Aspers CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,5536,1214752,Bendersville borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,6296,1214753,Biglerville borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,7560,1214754,Bonneauville borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,11472,1214755,Carroll Valley borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,11576,2630001,Cashtown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,20792,1214756,East Berlin borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,24560,1214757,Fairfield borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,28488,2634230,Gardners CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,28960,1214758,Gettysburg borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,32320,2389895,Hampton CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,33632,2633658,Heidlersburg CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,36352,2633661,Hunterstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,36712,2634233,Idaville CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,40981,2390016,Lake Heritage CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,40988,2390019,Lake Meade CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,43944,1214759,Littlestown borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,46312,2630025,McKnightstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,46376,1214760,McSherrystown borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,49224,2389481,Midway CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,53920,1214761,New Oxford borough,INCORPORATED PLACE,C5,A
PA,42,1,Adams County,57120,2389628,Orrtanna CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,75968,2633662,Table Rock CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,1,Adams County,87136,1214762,York Springs borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,2056,2631244,Allison Park CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,3320,1214763,Aspinwall borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,3608,1214764,Avalon borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,3816,2631247,Bairdford CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,3864,2631248,Bakerstown CDP,CENSUS DESIGNATED PLACE,U1,S
PA,42,3,Allegheny County,3928,1214765,Baldwin borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,5216,1214766,Bell Acres borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,5312,1214767,Bellevue borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,5504,1214768,Ben Avon borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,5520,1214769,Ben Avon Heights borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,6064,1214770,Bethel Park municipality,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,7000,1214771,Blawnox borough,INCORPORATED PLACE,C5,A
PA,42,3,Allegheny County,7688,2631251,Boston CDP,CENSUS DESIGNATED PLACE,U1,S
